head_sync,Time
0.185634001,708.4
0.170070501,708.8
0.154533067,709.2
0.128732653,709.6
0.111318889,710
0.108686206,710.4
0.112418872,710.8
0.106342916,711.2
0.121149161,711.6
0.096195556,712
0.122988111,712.4
0.09600077,712.8
0.084842328,713.2
0.118496707,713.6
0.109431964,714
0.10357353,714.4
0.115206158,714.8
0.124473976,715.2
0.121580953,715.6
0.134180731,716
0.149316417,716.4
0.139071259,716.8
0.116246517,717.2
0.119432898,717.6
0.146732073,718
0.141336262,718.4
0.177831109,718.8
0.203913671,719.2
0.211597137,719.6
0.168401494,720
0.151050336,720.4
0.145668643,720.8
0.122283661,721.2
0.118115823,721.6
0.112795253,722
0.114310396,722.4
0.141896531,722.8
0.133879987,723.2
0.120841588,723.6
0.142178931,724
0.14363071,724.4
0.142348403,724.8
0.149360816,725.2
0.146996643,725.6
0.112878552,726
0.135948545,726.4
0.158096183,726.8
0.167765005,727.2
0.172184549,727.6
0.173320836,728
0.16932677,728.4
0.173153001,728.8
0.175111935,729.2
0.162760648,729.6
0.143919715,730
0.137496249,730.4
0.154372454,730.8
0.139412539,731.2
0.133772044,731.6
0.169115107,732
0.186229766,732.4
0.203937309,732.8
0.221318298,733.2
0.218707554,733.6
0.214429882,734
0.213742608,734.4
0.210885614,734.8
0.209913359,735.2
0.231494275,735.6
0.201491688,736
0.163988688,736.4
0.148969318,736.8
0.129341368,737.2
0.104637757,737.6
0.114349521,738
0.111594867,738.4
0.114117314,738.8
0.143988476,739.2
0.139861377,739.6
0.105962567,740
0.109145133,740.4
0.102872484,740.8
0.120000553,741.2
0.122146218,741.6
0.146695754,742
0.161628078,742.4
0.157394938,742.8
0.148895136,743.2
0.157936786,743.6
0.180746437,744
0.158277136,744.4
0.153699392,744.8
0.170119356,745.2
0.217850284,745.6
0.231740919,746
0.222223539,746.4
0.216183624,746.8
0.196837203,747.2
0.159960743,747.6
0.202662285,748
0.181697328,748.4
0.186463678,748.8
0.12033145,749.2
0.120713785,749.6
0.134207356,750
0.143248142,750.4
0.133934285,750.8
0.137034507,751.2
0.184096975,751.6
0.188972795,752
0.196692795,752.4
0.180054849,752.8
0.156341682,753.2
0.170749954,753.6
0.172383631,754
0.187498203,754.4
0.187294451,754.8
0.197628592,755.2
0.19792142,755.6
0.195775362,756
0.188632532,756.4
0.158257188,756.8
0.140656712,757.2
0.136403851,757.6
0.122255332,758
0.114913915,758.4
0.106982831,758.8
0.102256648,759.2
0.09756269,759.6
0.108669888,760
0.120948585,760.4
0.157988432,760.8
0.163983635,761.2
0.150841936,761.6
0.153439978,762
0.187105322,762.4
0.180249227,762.8
0.155591373,763.2
0.162503427,763.6
0.174438037,764
0.15487948,764.4
0.143119336,764.8
0.114778605,765.2
0.104372184,765.6
0.09613429,766
0.107263505,766.4
0.12929487,766.8
0.119365457,767.2
0.1160107,767.6
0.105487254,768
0.098099588,768.4
0.105996632,768.8
0.113496405,769.2
0.114064531,769.6
0.118054124,770
0.13989819,770.4
0.117349642,770.8
0.08934014,771.2
0.126182416,771.6
0.143250875,772
0.158413712,772.4
0.15008753,772.8
0.126084666,773.2
0.131461201,773.6
0.132082992,774
0.132866163,774.4
0.129407434,774.8
0.11209724,775.2
0.095473364,775.6
0.105301465,776
0.149026986,776.4
0.176575088,776.8
0.133779379,777.2
0.147981501,777.6
0.156205375,778
0.138072157,778.4
0.098096498,778.8
0.104019495,779.2
0.123375231,779.6
0.131255644,780
0.130832492,780.4
0.114242786,780.8
0.110130425,781.2
0.119203572,781.6
0.087176283,782
0.097582194,782.4
0.087357173,782.8
0.079916357,783.2
0.103448638,783.6
0.104711384,784
0.145710034,784.4
0.128237337,784.8
0.111781447,785.2
0.111591689,785.6
0.098880971,786
0.106253546,786.4
0.111794875,786.8
0.115325472,787.2
0.121453685,787.6
0.108395693,788
0.132873536,788.4
0.149535278,788.8
