r_r_VM,Time
0.670327052,334.736154
0.519448153,335.1293671
0.347640312,335.5225803
0.187481841,335.9157934
0.065575689,336.3090065
-0.004034664,336.7022197
-0.039863196,337.0954328
-0.066463842,337.488646
-0.094703797,337.8818591
-0.126275856,338.2750723
-0.158097516,338.6682854
-0.187425618,339.0614985
-0.213241416,339.4547117
-0.237415283,339.8479248
-0.266664185,340.241138
-0.313082863,340.6343511
-0.388122975,341.0275642
-0.493460607,341.4207774
-0.615392362,341.8139905
-0.742269736,342.2072037
-0.868035067,342.6004168
-0.97502035,342.9936299
-1.038074175,343.3868431
-1.049967921,343.7800562
-1.021417537,344.1732694
-0.974532541,344.5664825
-0.938993123,344.9596957
-0.922000051,345.3529088
-0.917330909,345.7461219
-0.92453417,346.1393351
-0.943859354,346.5325482
-0.95996027,346.9257614
-0.955993455,347.3189745
-0.931930309,347.7121876
-0.901030918,348.1054008
-0.873047404,348.4986139
-0.850455766,348.8918271
-0.830521828,349.2850402
-0.807424373,349.6782533
-0.786152114,350.0714665
-0.774233516,350.4646796
-0.772520038,350.8578928
-0.778358702,351.2511059
-0.782975808,351.6443191
-0.791781343,352.0375322
-0.807984594,352.4307453
-0.832228298,352.8239585
-0.864864531,353.2171716
-0.905298711,353.6103848
-0.950153031,354.0035979
-0.988812667,354.396811
-1.006327145,354.7900242
-1.007412191,355.1832373
-1.012538689,355.5764505
-1.023127744,355.9696636
-1.016255014,356.3628767
-0.974811083,356.7560899
-0.891519539,357.149303
-0.772870223,357.5425162
-0.640455162,357.9357293
-0.512748423,358.3289425
-0.399015974,358.7221556
-0.300953319,359.1153687
-0.22120589,359.5085819
-0.173242983,359.901795
-0.159512526,360.2950082
-0.181818479,360.6882213
-0.238063791,361.0814344
-0.310788959,361.4746476
-0.377275096,361.8678607
-0.433037947,362.2610739
-0.488554595,362.654287
-0.549890588,363.0475001
-0.61037275,363.4407133
-0.649832673,363.8339264
-0.655096436,364.2271396
-0.631424016,364.6203527
-0.590530721,365.0135659
-0.551968219,365.406779
-0.532755229,365.7999921
-0.535299331,366.1932053
-0.557441539,366.5864184
-0.598486214,366.9796316
-0.658652855,367.3728447
-0.738229404,367.7660578
-0.836241028,368.159271
-0.943164775,368.5524841
-1.03112509,368.9456973
-1.066508071,369.3389104
-1.036458569,369.7321235
-0.953193882,370.1253367
-0.843396574,370.5185498
-0.73343096,370.911763
-0.636036498,371.3049761
-0.557557774,371.6981893
-0.502897056,372.0914024
-0.470541752,372.4846155
-0.442368547,372.8778287
-0.400545744,373.2710418
-0.339724556,373.664255
-0.262745016,374.0574681
-0.17507616,374.4506812
-0.082319675,374.8438944
0.010538689,375.2371075
0.100236864,375.6303207
0.187938726,376.0235338
0.283812747,376.4167469
0.406282582,376.8099601
0.568782203,377.2031732
0.762550537,377.5963864
0.940412021,377.9895995
1.050481833,378.3828127
1.072267992,378.7760258
1.012144706,379.1692389
0.880327846,379.5624521
0.691867145,379.9556652
0.475916897,380.3488784
0.270988799,380.7420915
0.098116163,381.1353046
-0.038195914,381.5285178
-0.135886496,381.9217309
-0.193999901,382.3149441
-0.211838053,382.7081572
-0.190064366,383.1013703
-0.130995433,383.4945835
-0.034044036,383.8877966
0.101447592,384.2810098
0.273192882,384.6742229
0.469228381,385.0674361
0.659282029,385.4606492
0.80758393,385.8538623
0.909952025,386.2470755
0.978588702,386.6402886
1.023795311,387.0335018
1.061160936,387.4267149
1.089122125,387.819928
1.090511453,388.2131412
1.059112945,388.6063543
0.993481218,388.9995675
0.894688644,389.3927806
0.765568936,389.7859937
0.609182335,390.1792069
0.428031749,390.57242
